resp_id,rating,operating_system,RAM,storage,screen_size,battery,price,nationality,Age,Gender,Education,Work
26,4,Linux,16,526,13.3,4,1500,italy,20-23,female,Master of Science,No
26,8,MacOS,16,256,13.3,8,1000,italy,20-23,female,Master of Science,No
26,6,Windows,4,256,13.3,4,500,italy,20-23,female,Master of Science,No
26,7,MacOS,16,1000,15.6,12,1500,italy,20-23,female,Master of Science,No
26,7,Windows,8,256,15.6,12,1000,italy,20-23,female,Master of Science,No
26,6,Windows,4,526,14,12,1500,italy,20-23,female,Master of Science,No
27,7,Linux,8,526,14,8,1000,italy,24-26,male,Master of Science,No
27,4,Linux,16,526,13.3,4,1500,italy,24-26,male,Master of Science,No
27,6,Linux,8,1000,15.6,4,500,italy,24-26,male,Master of Science,No
27,4,Windows,4,256,13.3,4,500,italy,24-26,male,Master of Science,No
27,5,MacOS,4,1000,14,8,500,italy,24-26,male,Master of Science,No
27,6,MacOS,16,1000,15.6,12,1500,italy,24-26,male,Master of Science,No
27,8,Windows,8,256,15.6,12,1000,italy,24-26,male,Master of Science,No
27,5,Windows,4,526,14,12,1500,italy,24-26,male,Master of Science,No
27,7,MacOS,16,256,13.3,8,1000,italy,24-26,male,Master of Science,No
28,6,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,No
28,6,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,No
28,6,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
28,7,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
28,5,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
28,5,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
28,6,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,No
28,7,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
28,5,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
29,4,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,No
29,7,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,No
29,6,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,No
29,8,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,No
29,4,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,No
29,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,No
29,8,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,No
29,8,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,No
29,4,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,No
30,5,Linux,8,1000,15.6,4,500,italy,20-23,male,Master of Science,"Yes, part-time"
30,5,Windows,4,256,13.3,4,500,italy,20-23,male,Master of Science,"Yes, part-time"
30,7,MacOS,4,1000,14,8,500,italy,20-23,male,Master of Science,"Yes, part-time"
30,5,Linux,8,526,14,8,1000,italy,20-23,male,Master of Science,"Yes, part-time"
30,4,Windows,4,526,14,12,1500,italy,20-23,male,Master of Science,"Yes, part-time"
30,7,Windows,8,256,15.6,12,1000,italy,20-23,male,Master of Science,"Yes, part-time"
30,4,Linux,16,526,13.3,4,1500,italy,20-23,male,Master of Science,"Yes, part-time"
30,7,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Master of Science,"Yes, part-time"
30,7,MacOS,16,256,13.3,8,1000,italy,20-23,male,Master of Science,"Yes, part-time"
31,8,Linux,8,526,14,8,1000,italy,20-23,male,Bachelor's degree,No
31,8,Windows,8,256,15.6,12,1000,italy,20-23,male,Bachelor's degree,No
31,7,Linux,8,1000,15.6,4,500,italy,20-23,male,Bachelor's degree,No
31,5,Linux,16,526,13.3,4,1500,italy,20-23,male,Bachelor's degree,No
31,8,MacOS,4,1000,14,8,500,italy,20-23,male,Bachelor's degree,No
31,7,MacOS,16,256,13.3,8,1000,italy,20-23,male,Bachelor's degree,No
31,6,Windows,4,256,13.3,4,500,italy,20-23,male,Bachelor's degree,No
31,8,MacOS,16,1000,15.6,12,1500,italy,20-23,male,Bachelor's degree,No
31,6,Windows,4,526,14,12,1500,italy,20-23,male,Bachelor's degree,No
32,5,Linux,8,1000,15.6,4,500,italy,20-23,female,Master of Science,"Yes, part-time"
32,8,MacOS,4,1000,14,8,500,italy,20-23,female,Master of Science,"Yes, part-time"
32,6,Windows,4,256,13.3,4,500,italy,20-23,female,Master of Science,"Yes, part-time"
32,8,MacOS,16,1000,15.6,12,1500,italy,20-23,female,Master of Science,"Yes, part-time"
32,6,Linux,8,526,14,8,1000,italy,20-23,female,Master of Science,"Yes, part-time"
32,8,MacOS,16,256,13.3,8,1000,italy,20-23,female,Master of Science,"Yes, part-time"
32,8,Windows,8,256,15.6,12,1000,italy,20-23,female,Master of Science,"Yes, part-time"
32,6,Windows,4,526,14,12,1500,italy,20-23,female,Master of Science,"Yes, part-time"
32,4,Linux,16,526,13.3,4,1500,italy,20-23,female,Master of Science,"Yes, part-time"
33,8,Linux,8,526,14,8,1000,italy,24-26,male,Master of Science,"Yes, part-time"
33,7,MacOS,4,1000,14,8,500,italy,24-26,male,Master of Science,"Yes, part-time"
33,8,Windows,8,256,15.6,12,1000,italy,24-26,male,Master of Science,"Yes, part-time"
33,6,Windows,4,256,13.3,4,500,italy,24-26,male,Master of Science,"Yes, part-time"
33,6,Linux,16,526,13.3,4,1500,italy,24-26,male,Master of Science,"Yes, part-time"
33,7,MacOS,16,256,13.3,8,1000,italy,24-26,male,Master of Science,"Yes, part-time"
33,7,MacOS,16,1000,15.6,12,1500,italy,24-26,male,Master of Science,"Yes, part-time"
33,7,Linux,8,1000,15.6,4,500,italy,24-26,male,Master of Science,"Yes, part-time"
33,5,Windows,4,526,14,12,1500,italy,24-26,male,Master of Science,"Yes, part-time"
34,5,Linux,16,526,13.3,4,1500,italy,24-26,male,Not a student,"Yes, full-time"
34,8,MacOS,16,256,13.3,8,1000,italy,24-26,male,Not a student,"Yes, full-time"
34,7,Windows,4,256,13.3,4,500,italy,24-26,male,Not a student,"Yes, full-time"
34,7,Linux,8,1000,15.6,4,500,italy,24-26,male,Not a student,"Yes, full-time"
34,7,MacOS,16,1000,15.6,12,1500,italy,24-26,male,Not a student,"Yes, full-time"
34,6,Linux,8,526,14,8,1000,italy,24-26,male,Not a student,"Yes, full-time"
34,8,MacOS,4,1000,14,8,500,italy,24-26,male,Not a student,"Yes, full-time"
34,8,Windows,8,256,15.6,12,1000,italy,24-26,male,Not a student,"Yes, full-time"
34,6,Windows,4,526,14,12,1500,italy,24-26,male,Not a student,"Yes, full-time"
